school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered
HAI SING CATHOLIC SCHOOL,http://www.haisingcatholic.moe.edu.sg/,9 PASIR RIS DRIVE 6,519421,65827864,na,65822543,na,HSHS@MOE.EDU.SG,PASIR RIS MRT,"3,  6,  12,  17,  21,  89,  354,  358",MR ANG TECK SIANG DANIEL,MR TAN YIT KEE,MR JANSEN JOSEPH MARIAN,na,na,na,"Rooted in Truth and Charity, nurtured for academic, aesthetic, physical, social and moral growth.","With God in our presence, we strive to create a family of compassionate persons imbibed with integrity. We strive to cultivate confident and independent learners who are adaptable and gracious.","Hai Sing Catholic School was founded in 1959 by the Franciscan Missionaries of Mary (FMM). It is a 58-year old Catholic School with a proud and distinguished history, a school which believes in developing each HaiSian to his fullest potential, to be truthful and to have compassion for others.  HaiSians walk the Way of Truth through Living for Others.  HaiSians serve the young and the elderly in the community who need comfort and support. Teachers of Hai Sing are exemplary in their love for teaching and in moulding students to be persons of character and resilience. Teachers are role models of learning and life long learning. They employ the latest technology to better engage students in learning while remaining accessible to students who need extra help after school. The school is also recognized for its innovative culture, its teaching methods and emphasis on discipline and values. Together with parents and alumni as partners, Hai Sing Catholic School is poised to meet the challenges of nurturing the young to be good citizens who are able to navigate the many complexities of life, to remain adaptable, gracious, compassionate and persons of integrity.",PASIR RIS,EAST,EAST 1,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"The school offers the Applied Learning Programme (ALP)in Robotics and Engineering which nurtures 21st Century Competencies in Critical & Inventive Thinking. The ALP comprises the Robotics Proficiency Programme, the Science Inquiry and Applied Mathematics Modelling Programme, and the Design Engineering Programmes. Students have been recognised internationally for their achievements in Robotics. The school's Learning for Life Programme (LLP), Developing Leadership Competencies in Every HaiSian, nurtures the 21st Century Competencies in Communication, Collaboration & Information skills in our students. Students develop their leadership potential through the Community Youth Leadership Programme. The school offers student-centric and values-driven programmes to develop Confident, Independent, Adaptable, and Gracious HaiSians. The HAI Experiential Week, Hai Aesthetics Programme and National Youth Achievement Award (NYAA) Programme, Project I together with the Future Problem Solving and Mathematics Olympiad Programmes, enrich the learning experiences. Overseas trips to China, Japan and Malaysia imbue our students with Civic Literacy, Global Awareness and Cross-Cultural Skills. The School educates HaiSians to protect the environment through its nationally-recognised 3R Programmes like the Hai Mangrove Digital Trail. Supplementary academic programmes provide learning support for students who need special coaching."
ANGLO-CHINESE SCHOOL (BARKER ROAD),http://acsbr.net/,60 BARKER ROAD,309919,62561633,na,62561366,na,acsbr@moe.edu.sg,"NEWTON MRT, STEVENS MRT","48, 66, 67, 170, 171, 700, 960","MR TAN CHONG TZE, PETER",MRS AW MENG YIN,MR TAN WHYE WEE JEFFREY,na,na,na,Generations of educated men who are God-fearing and growing in Grace.,"Touch Hearts, Empower Minds, Enrich Souls","Anglo-Chinese School (Barker Road) belongs to the ACS family of schools. Established in 1994 as a school of Hope for our feeder boys who desired a continued ACS education in a secondary school, we have been consistently moving towards our aspiration to be a school of Excellence. As a Methodist institution, we inculcate the core values of Respect, Integrity, Commitment and Excellence in our students. We believe that our students have the potential to excel and provide opportunities for them to do so through a unique ACS(BR) education that nurtures future-ready leaders.  Our double niche areas are in our Applied Learning Programme ""Developing Effective Communicators through Drama, Debates and Public Speaking"" and Lifelong Learning Programme ""Building Character through Sports and Outdoor Education"".  We offer a holistic and broad-based education that strikes a balance between the academic and non-academic, so that we can provide an environment that is happy, enriching and fulfilling.  True to our mission, we aim to touch hearts by creating memories and giving meaning to all that we do, empower minds by sharpening the intellect and broadening perspectives, and enrich souls by growing in faith and serving others. Our product - the ACS(BR) Gentleman.",NOVENA,SOUTH,SOUTH 3,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"1:1 Learning Programme, Aesthetics Programme, Applied Learning Programme ""Developing Effective Communicators through Drama, Debates and Public Speaking"", Character Development encompassing Spiritual, Enterprise, Citizenship, Personal & Social Lifeskills and Service Learning, Cyber-wellness Programme, Integrated Values-In-Action programme that culminates in C21@ACS(BR) that incorporates VIA and 21st century competencies, Highly Effective Youth! Programme, Level Camps, Lifelong Learning Programme ""Building Character through Sports & Outdoor Education"", Sports Education Programme, Student mentoring by staff, Swimming and Flippa Ball Programme, Study Skills Modules, Talent Development Programme and Whole school Approach to Effective Communication."
ANGLICAN HIGH SCHOOL,http://www.anglicanhigh.moe.edu.sg,600 UPPER CHANGI ROAD,487012,62414866,na,64414690,na,AHS@MOE.EDU.SG,TANAH MERAH MRT,"2, 9, 12, 14, 24, 31, 35, 38, 45",MDM LEE WEE LIN MAUREEN,MR GOH CHIN WEI,MR JOHN WU YIFAN,MR SEAH THIAM SIONG,na,na,"Where Talents Soar: Bicultural Scholars, Accomplished Achievers, Honourable Leaders","To nurture creative thinkers, lifelong learners and compassionate leaders who uphold tradition and aspire towards holiness and righteousness.","Anchored on the school philosophy 'Every Child Has Talent, Every Child Can Excel', the school provides all students with a rich learner-centered, holistic educational experience, with the aim of stretching every student's potential in the Cognitive, Leadership, Aesthetics, Moral,  Physical and Social domains. In nurturing the whole child, the school places emphasis on leadership and talent development to build the personal capacity of each child. In addition, students are equipped with life skills to be confident communicators, active collaborators and critical thinkers. As a Special Assistance Plan (SAP) school, the school offers a bicultural learning environment with strong emphasis on the learning of the Chinese language and culture premised on strong values and active citizenry. Besides offering a quality 4-year instructional programme, the school also has a robust and vibrant CCA programme and Student Development Co-curriculum to nurture good character and develop 21st century competencies. With its strong sports tradition, the school is affirmed as the Centre of Excellence (COE) for Sports in the East Zone. The school's total curriculum is characterised as being progressive, competency-based, values-led and passion-driven, and is thoughtfully designed and delivered by a team of highly dedicated and competent teachers.",BEDOK,EAST,EAST 4,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na,"The following programmes are offered to all students: The AHS CHAMPS (Cognitive, Headship, Aesthetics, Moral, Physical and Social) Talent Development Programme is a holistic four-year programme comprising curriculum electives and diverse opportunities for students to develop leadership competencies and specialised skills. The Anglican Critical Thinking Skills (ACTS) Curriculum, Design Thinking Programme, Appreciation of Chinese Culture Programme, Dynamic Science, Innovative Thinkers Self-Directed Learners & Collaborative Researchers (i-ScoRe) Programme, Overseas Learning Programme, Student Leadership Programme, IGNITE Elective Modules, and tiered Arts Education Programme further provide for the holistic development of all students. Learning at AHS is enhanced by the purposeful integration of ICT, tapping on its affordances to develop 21st century competencies in all students."
CATHOLIC HIGH SCHOOL,http://www.catholichigh.moe.edu.sg/,9 BISHAN STREET 22,579767,64582177 (Secondary),64589869 (Primary),64561322 (Secondary),64593938 (Primary),chs@moe.edu.sg,BISHAN MRT,"13, 52, 54, 88, 156, 162, 162M, 410",MDM SOH LAI LENG MAGDALEN,MRS KOH KWANG HOON NEE TAN,MISS YAP AI LI,MR LAK YAU HUI,MISS HO PING PING,MR TAN PERRY,"The Catholic High student is a leader, gentleman and bilingual scholar of high integrity and robust character, who is passionate about life, learning and service to others.","To establish Catholic High School as a school of distinction in innovative and challenging programmes, a forerunner in character building and a beacon for the mindset of excellence, firmly built upon the foundation of Christian values.","Founded in 1935 by the late Rev. Fr. Edward Becheras, Catholic High School is one of Singapore's highly regarded institutions under the auspices of the Catholic Archdiocese. As a Special Assistance Plan (SAP) school, CHS is grounded in the philosophy of bilingualism and biculturalism. As a Catholic mission school, love is the motivation behind all our actions. We ensure there is Joy of Learning in school life, and that students develop a Mindset of Excellence. The school's core values underpin every member's attitude, actions and aspirations. Our heritage, alumni and parent support group are the strengths that our school draws upon for our model of education, where every student is a Leader, Gentleman and Bilingual Scholar in the making. Offering the unique dual-track model with both the O-Level and Integrated Programmes, the CHS experience offers a curriculum strong in academic distinction, leadership and character development, and sports and aesthetics excellence. Our IP students will spend their first 4 years in CHS before progressing to the new Eunoia Junior College to complete the IP.",BISHAN,NORTH,NORTH 3,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVEL,Yes,Yes,Yes,Yes,Chinese,na,na,"CHS' model of Leader-Gentleman-Bilingual Scholar Curriculum includes development platforms such as :  <1> LEADER --- Student Leadership Development Programme, Sports and Rugged Enrichment Programme, Overseas Immersion Programme, Meet-The-People Attachment, World Readiness Programme.  <2> GENTLEMAN --- Music Elective Programme (MEP), Aesthetics Talent Management Programme, 'A Day in the Making of a Gentleman' Programme, Passion Pursuits Programme, Student Sports Leaders Award Scheme, Sports Participation Programme, Rugged Outdoor Programme.  <3> BILINGUAL SCHOLAR --- MOE Bicultural Studies Programme, SAP Flagship Programme, Humanities Talent Development Programmes, Singapore Mathematics Olympiad, Mathematical Modelling, Mathematics Research Programme, Science Mentorship Programme, Singapore Seminar."
CHUNG CHENG HIGH SCHOOL (MAIN),http://www.chungchenghighmain.moe.edu.sg/,50 GOODMAN ROAD,439012,63441393,na,63449686,na,CCHMS@MOE.EDU.SG,DAKOTA MRT,"10,12,14,16,30,31,32,33,40,43,76,135,196,197",MR CHAN YING YIN,MDM TAN LAY GIN,DR ONG CHUN GHEE,MR BOH HONG JIK,na,na,"Institution of Eminence, Generations of Leaders; Grounded in Values, Global in Outlook","The school is committed to Building Character, Enhancing Confidence and Nurturing Talents.","Guided by the school's philosophy ""Excellence in Education for All"", Chung Cheng High School (Main) is committed to the development of our students and the nurturing of 21st century leaders and intellectuals through a holistic learning experience.  As the East Zone Centre of Excellence (Chinese), the school seeks to promote good practices in the teaching and learning of Chinese and Chinese Culture.  A SAP school since 1979, we are committed to deliver an effective bilingual and values-based education. Through comprehensive bi-cultural programmes and various overseas immersion programmes, the school aims to nurture bi-cultural Chung Cheng scholars who are grounded in values, global in outlook and equipped with cross-cultural literacy. The school's rich tradition in the Culture and the Arts saw many renowned talents nurtured in the cultural, literary and arts scene amongst our graduates. The Chung Cheng Education Framework, premised on Professor Howard Gardner's ""Five Minds for the Future"", guides us in delivering a forward-looking curriculum for the 21st century. As an institution of eminence, the school is well poised with new and upgraded facilities after the completion of PRIME in 2013 to continue delivering quality education well into the 21st century.",MARINE PARADE,EAST,EAST 4,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,Yes,No,No,Chinese,na,na,"(1) Special Assistance Plan (SAP) School: Bi-cultural Programme which includes Calligraphy & Chinese Painting, Tea Art Appreciation, Bi-cultural Camp, etc. (2) Talent Development Programme in the areas of Chinese & Culture, Mathematics, Music and Science. (3) Special Interest Programme: Heritage Docent Programmes (Sun Yat Sen Nanyang Memorial Hall, Malay Heritage Centre), Media Production Programme, Translation Programme. (4) Overseas Learning Programme: Overseas Community Involvement Programme, Overseas School Immersion Programme (Chongqing, Shanghai, Suzhou), Overseas Leadership Development Programme."
CHUNG CHENG HIGH SCHOOL (YISHUN),http://www.chungchenghighyishun.moe.edu.sg,11 YISHUN STREET 61,768547,67583912,na,67587397,na,cchys@moe.edu.sg,KHATIB MRT,"85, 811, 812, 851, 852, 853, 854, 855, 858, 965, 969",MR YAP THIAM CHUAN,MRS CHONG LAI PENG NEE YEO,MDM ELSIE TAN SER HONG,na,na,na,A Premier And Prestigious School,"To instill desired values in our students and develop their potential so that they will achieve excellence and contribute to the community, nation and the world.","Chung Cheng High School (Yishun) offers a quality values-driven holistic education that grows our students to be responsible, respectful, courageous and inquiring learners with a mindset for excellence.  Our students are caring individuals who contribute to the local, national and global community.  Displaying the school values 'Knowledge with Responsibility, Humanity with Respect and Courage with Integrity', students are disciplined and diligent in the pursuit of knowledge.  They are responsible and discerning when seeking to acquire knowledge.  They are keen learners who are ready to deal with 21st century challenges.  Being compassionate, caring and grateful, they proactively contribute to improving the lives of others.  Our students will embrace change, seize opportunities and be willing to take calculated risks so as to overcome challenges with courage and resilience.  Through self-reflection for continuous improvement, they are courageous to stand up for what is right and demonstrate honesty and responsibility in all their actions.  They live up to the school motto of 'Success through Diligence and Perseverance'.",YISHUN,NORTH,NORTH 2,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"The school is implementing greater flexibility in subject offering at lower secondary levels.  Eligible N(A) and N(T) students can take some subjects at a higher level starting from Secondary 1, based on their PSLE results.  Beyond the start of Secondary 1, students can also do so if they do well in those subjects. The school's Learning for Life Programme 'Developing Character by understanding Chinese culture and values through Aesthetics' imbues in all students a deeper understanding and appreciation of Chinese culture, values and philosophy through music and the arts.  They will develop critical thinking skills and advanced skills in communication, interpretation and perception related to music and the arts.  It complements the school-designed Dizigui curriculum that includes the teaching of Chinese morals and values to all our students. The school's Applied Learning Programme 'Developing Analytical, Research, Communication and Interpersonal Skills through Food Science and Technology' equips our students with the scientific knowledge and skills, as well as 21st century competencies, to develop an interest in the area of food processing, security and safety, focusing on developing scientific literacy in our students."
HOLY INNOCENTS' HIGH SCHOOL,http://www.holyinnocentshigh.moe.edu.sg,1191 UPPER SERANGOON ROAD,534786,62833381,na,62831737,na,HIHS@MOE.EDU.SG,HOUGANG MRT,"27, 72, 74, 80, 87, 89, 101, 107, 113, 116, 119, 132, 136, 147, 153, 161, 165, 324, 325",MR YAP WAI MENG,MR CHUA PUAY WEE ERIC,MR NG CHENG SONG JEREMY,MISS KOH PIA CHIN ELIZABETH,na,na,"A community with Courage to Lead, Compassion to Serve.",To nurture students to be compassionate and morally upright citizens committed to serving God and society.,"A Catholic mission school with more than 120 years of history, we provide a holistic educational experience, centred on developing performance, ethic and service characters. Our students thrive in a culture of care and excellence in a God-centred environment, supported by strong teacher-student relationships. We believe in bringing out the leader in every child in preparation for service to the home, school, nation and world. Staff and students are guided by the school values of Humility, Integrity, Respect and Love.",HOUGANG,SOUTH,SOUTH 1,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"We offer the Applied Learning Programme in 'Journalism & Broadcasting' in Chinese and English to develop critical thinking skills, communication skills,and global and social awareness. Through their voices, our students can influence society and build a nation that is compassionate, caring and forward-looking. The programme further provides a good foundation for those interested in pursuing a career in the media industry. The school also offers a Learning for Life Programme (Good Samaritan Programme) which focuses on community and youth leadership development. We believe our students are able to lead by example, and can lead others in both actions and thoughts. The Good Samaritan Programme is slanted towards providing service to the community in the form of Values In Action projects across levels. Students also have opportunities to work with external agencies in planning for community projects, and organising the school's Teens Conference. Students can build their strengths through other academic and co-curricular programmes: the Science Research Programme, Mathematics Olympiad, Advanced Elective Modules, Elective Modules for Normal Academic and Normal Technical students, NTerprise Programme, Religious & Moral Education, Overseas Values In Action Programme, Level Camps, Sports Carnival, Road Run, Level Games, etc. The school is implementing greater flexibility in subject offering at lower secondary levels. Eligible N(A) and N(T) students can take some subjects at a higher level starting from Secondary 1, based on their PSLE results. Beyond the start of Secondary 1, students can also do so if they do well in those subjects."
MARIS STELLA HIGH SCHOOL,http://www.marisstellahigh.moe.edu.sg/,25 MOUNT VERNON ROAD,368051,62803880 (Sec),62827743 (Pri),62886905 (Sec),62827905 (Pri),msh@moe.edu.sg,BARTLEY MRT,"28, 93, 100, 135, 155, 158",MRS WOO SOO MIN,MR EDWIN ONG YOKE YAM,MR TAN CHING HUAT,MRS MARIA KOH,MR TAN KIM KOON,MR KUEK JOO LENG,"Aspiring Learners, Inspiring Leaders and Educators, Quality Systems, Dynamic Environment","The holistic development of each Marist that blends faith, culture and life with respect to his human dignity","Maris Stella High School is an autonomous all-boys Catholic school committed to educating Marists holistically and anchored in the Marist values.  As one of the first SAP schools in Singapore,  we seek to educate Marists to have bicultural sensitivity, steep in traditional Chinese values with a global outlook, ready for the future.  As an all-boys school, we adopt a boy-centred approach focussing on sports, outdoor education, the Sciences and ICT in our school-wide programmes, whilst supporting individual interests of Marists, to bring out the best in them. We further inculcate the School Values of Diligence, Determination, Loyalty and Dedication, and Courage in Marists so that they are equipped with the attitudes and competencies to become contributing members of society. Caring teachers and strong programmes geared towards building school spirit anchor the learning experiences of Marists.",TOA PAYOH,NORTH,NORTH 4,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVEL,Yes,Yes,No,No,Chinese,na,na,"1-to-1 Learning Programme; Life-Science Research Programme; Singapore Mathematics Olympiad; Inter-disciplinary Project Work; Public Speaking Programme; School Ambassadors to develop Effective Communicators; Digital Video Production; Scratch Programming; Leadership Development Programme; Chinese Cultural Appreciation (local and overseas); Student Immersion in Twinning Schools in Xi'An; Values & Life-skills Education Programme; Sec 1 Orientation Camp; Sec 2 Adventure Camp; Sec 3 Team Building Camp; Outdoor Expeditions including Kayaking, Rock-climbing; Rigorous CCA training."
NAN CHIAU HIGH SCHOOL,http://www.nanchiauhigh.moe.edu.sg,20 ANCHORVALE LINK,545079,64897971,na,64897970,na,NCHS@MOE.EDU.SG,"SENGKANG MRT, RENJONG LRT, TONGKANG LRT","43, 83, 85, 109, 156, 159, 161, 163, 372",MR TAN YEE KAN,MR TAY HIANG SOON,MDM CHOW NYET YOON,na,na,na,A Distinctive Institution of World-Ready Thinkers and Leaders,"To broaden the minds of NCzens, nurturing bicultural learners who lead, serve and inspire","In NCHS, we believe that every student has unique talents and abilities that can be developed and he/she can learn and achieve if emotional and physical needs are met. We seek to provide a quality school experience to enable every student to develop their character and stretch their potential. Focussed on student-centred learning, our Teaching & Learning Framework harnesses ICT to enhance learning and equip our students with 21st century life skills and competencies. We offer a conducive and caring environment, and have committed and nurturing teachers who believe in setting high expectations, providing authentic and experiential learning experiences, and inspiring our students to excel in their academic performance, character and leadership development, and CCAs. Over the years, our students have done well in both the academic and non-academic domains. Their success has affirmed our continuous effort in striving for excellence to provide a quality holistic education for all our students with the support of dedicated teachers, a strong SMC, committed alumni and supportive parents.",SENG KANG,NORTH,NORTH 4,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,Yes,No,No,No,Chinese,na,na,"Our SAP Bicultural & Flagship Programme is designed with the theoretical underpinning of Howard Gardner's ""Five Minds for the Future"", with an additional unique sixth mind, the 'Bicultural Mind'. The programme aims to groom future leaders who are bilingual and well versed in the Chinese language and culture, and have a deep appreciation of other cultures so that they are able to make strong and meaningful connections with the World. These objectives are also strengthened by our Global Classroom Programme which broadens our students' minds through the 4 domains: Bicultural Learning, Talent Development, Service Learning and Immersion & Exchange. NCzens are thus groomed to be world-ready, and to possess the meritorious Cultural Intelligence. The Learning for Life Programme (LLP) provides a unique cognitive-aesthetic domain of learning through Drama-in-Education, Public Speaking, Debate, Puppetry and Creative Lyrical Composition. The Programme encourages students' self-expression, nurtures their aesthetics appreciation and allows them to learn to embrace cultural diversity. In the Applied Learning Programme (ALP), students explore using Arduino Microcontroller in health Science and technology. Students also learn Science research skills to deepen their Disciplined Mind in Science.The school-wide Service Learning Programme provides opportunities for NCzens to learn to lead, serve and inspire others."
NANYANG GIRLS' HIGH SCHOOL,http://www.nygh.moe.edu.sg/,2 LINDEN DRIVE,288683,64663275,na,64667564,na,NYGHS@MOE.EDU.SG,"SIXTH AVENUE MRT, TAN KAH KEE MRT","66, 67, 74, 151, 154, 156, 157, 170, 171, 174, 852, 961",MDM HENG BOEY HONG,MRS CHEK-LIM LAM ENG,MRS WHANG AI LEE,na,na,na,Every Nanyang Girl a Respected Member of Society,We nurture women of character in a bilingual bicultural environment anchored in values on which our school was founded.,"Nanyang Girls' High School is a school with a rich tradition and illustrious history. The school was founded in 1917, with the belief that girls deserve to be educated and that, with education, they can make the world a better place for others. This belief is espoused through our school vision, mission and values.   We have a forward-looking, personalised and connected curriculum anchored in values that seek to develop our students to be reflective, responsive and responsible learners, equipped with the knowledge, skills and attributes for the 21st century.  The Nanyang experience engages our students in authentic and relevant learning that allows them to create meaningful, useful and shared outcomes.  The curriculum is personalised, allowing students to exercise choice according to their interest and ability.  Students will be able to make meaningful connections within and between disciplines, and develop a heart for the community by paying forward through active service.   We also keep our students engaged and excited about learning through 1-1 computing.  In addition, through our carefully designed experiential learning opportunities that include the Boarding School Experience at our very own Boarding School and our Global Classroom Programme, we provide our students with a holistic education ready for the globalised future.",BUKIT TIMAH,WEST,WEST 6,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,Yes,No,Yes,Yes,Chinese,na,na,Nanyang Seal of Excellence Talent Development Programme  - Four-Tier Chinese Language and Culture Programme which includes Bicultural Studies (Chinese) and Chinese Language Elective Programme . Humanities Programme . Science and Mathematics Talent Programme . Leadership Development . Art Elective Programme (AEP) . Higher Music Programme (HMP)  Other programmes that further enrich the students' holistic learning experience include: . The Connected Curriculum . The Personalised Curriculum . Global Classroom Programme . Work Experience Programme . Extended Classroom Programme . Boarding School Experience . Conversational Malay . Community Education and Community Leadership Programme . Philosophical Inquiry . Research Programme . Translation . Drama . Conversational Malay  Third Language - NYGH offers Malay Special Programme
CHIJ ST. NICHOLAS GIRLS' SCHOOL,http://www.chijstnicholasgirls.moe.edu.sg,501 ANG MO KIO STREET 13,569405,63541839 (Secondary),64549698 (Primary),64511335 (Secondary),64566169 (Primary),chijsng_sec@moe.edu.sg,"ANG MO KIO MRT, YIO CHU KANG MRT","76, 265, 268, 269",MDM FIONA YEO SU LING,MISS YEO TECK WOON,MRS EUNICE LIM,MR LOH CHIH HUI,MS BAEY EE-LYN,MR THAM WAI KONG,"Girls of Grace, Women of Strength, Leaders with Heart","The creation of a Christ-centred school community where all work together for the promotion of truth, justice, freedom and love, with special reference to the needs of persons who are disadvantaged in any way","CHIJ St. Nicholas Girls' School has a long history with fine traditions and a strong school culture and ethos. Our students are given opportunities to develop holistically and hone their leadership competencies while being grounded in the IJ values of Truth, Justice, Freedom and Love. We emphasise character building, the pursuit of excellence, a strong family spirit, sisterly love and a bilingual culture, as embodied in our vision. Our girls are imbued with respect for individuals, dignity, humility, gratitude and compassion. The school strives to provide a unique and rigorous education to maximise the potential of each student. Besides excelling in academia, we embrace culture, the arts, music, sports and other pursuits that refine our girls into all-rounded women with the finest sensibilities. We strive to make the years a child spends in our school times to remember, and incorporate helping others and giving back to society into the very fabric of our education. Under the nurturing leadership and guidance of our principal and teachers, St. Nicholas girls become Girls of Grace, Women of Strength and Leaders with Heart.",ANG MO KIO,NORTH,NORTH 6,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,MIXED LEVEL,Yes,Yes,No,Yes,Chinese,na,na,"Our Joint Integrated Programme, developed collaboratively with Catholic High School and Singapore Chinese Girls' School, aims to nurture a community of leaders who exhibit the highest levels of distinction in their acquisition and mastery of 21st century competencies. It is our vision that they will grow into young leaders of principle, integrity and discernment, who zealously seek to impact lives in positive and ethical ways. IP students will spend their first 4 years in CHIJ St. Nicholas Girls' School before progressing to Eunoia Junior College to complete the IP. As a Special Assistance Plan (SAP) school, we also offer bilingual and bicultural learning opportunities including a Translation Programme and the Bicultural Studies Programme (Chinese) [BSP(C)], which nurture our girls' bicultural awareness and enhance their mastery of the Chinese language. Other programmes offered include the Music Elective Programme (MEP), Student Leadership Programme, Talent Development Programmes, Job Attachment Programme, Cultural Intelligence for Teens, Life Sciences Programme, Science Mentorship Programme, Chemistry & Physics Olympiads and Mathematics Olympiad Programme."
MARYMOUNT CONVENT SCHOOL,HTTP://WWW.MARYMOUNTCONVENT.MOE.EDU.SG,430 LORONG 1 TOA PAYOH,319759,62566701,62566532,62543080,na,MMCS@MOE.EDU.SG,Braddell MRT Station or  Caldecott MRT Station,"141, 235",MRS ALLISON LIM,MDM LYNETTE FERNANDEZ,MDM LEE SWEE MEI CHERYL,MDM CHRISTINA TEE SIEW PING,na,na,"Ladies of compassion, eloquence and intellect with GOD as our shepherd",We are committed to reaching out with compassion and respect and empowering each person to develop her full potential holistically.,na,TOA PAYOH,SOUTH,SOUTH 3,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"Character and Citizenship Education (CCE)Programme  Programme to Excite, Experience and Enrich (PE3 Programme)  Arts Programme  Rhythmic Gymnastics Programme"
MANJUSRI SECONDARY SCHOOL,http://www.manjusrisec.moe.edu.sg,20 UBI AVENUE 1,408940,68424558,na,67454492,na,manjusri_ss@moe.edu.sg,"EUNOS MRT, MACPHERSON MRT","5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 65, 66, 93, 94, 854",MR SIM CHONG BOON,MDM HENG WEI SHAN,MR HO MINGDA,na,na,na,"Passionate Learners, Compassionate Leaders",Nurturing Manjusrians who are anchored in values whilst global in perspective,"We nurture all Manjusrians to be confident, independent and empathetic persons who are committed to life-long learning and have the moral courage and dedication to serve the community and the nation. We achieve this by ensuring that Manjusrians, as learners and leaders, are able to make decisions based on sound fundamental beliefs and principles. We aspire for them to understand and appreciate the importance and impact of worldwide interconnectedness while remaining rooted to Singapore. Guided by our school motto 'Wisdom, Conduct, Benevolence, Aspiration', we pride ourselves in providing a customised, holistic curriculum to foster both excellence and ethics, and to imbue in our staff and students the values of Respect, Integrity, Care and Excellence. We adapted Building Learning Power to systematically cultivate habits and attitudes in our students so that they become better learners and are able to face difficulty and uncertainty calmly and confidently.",GEYLANG,EAST,EAST 7,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,na,"Since 2014, the school initiated the Building Learning Power approach to integrate character education and academic learning. Through the direct instruction of learning dispositions, students acquire good habits and values. This enables the students to learn better and instil good character in them, preparing them to face difficulty and uncertainty calmly and confidently in the future. Our Applied Learning Programme (ALP) - ""Building a Smart Home with a Big Heart"" aims for students to learn about the science of SMART Technologies, and understand its application in a SMART home system. Students will be required to propose innovative ways on how the safety and security of the elderly can be monitored and improved. This exemplifies the values-driven education of our school to enable students to promote a keen interest in the nation's development towards a more vibrant and caring society for generations to come. Our Learning for Life Programme (LLP) - ""Learning Through the Arts"" aims to develop students' appreciation for various art forms. Students will have opportunities to experience arts as audience and participants and develop an interest and appreciation for the arts. The school started a Taipei Exchange Programme in 2015 to develop students global awareness and cross-cultural skills. There is also Reading Programme to inculcate good reading habits. With these programmes in place, our students are developed holistically and ready to take on challenges in life."
